departamento;ciudad;latitud;longitud
Cundinamarca;Tabio;4,9158;-74,0983
Santander;Barbosa;5,933;-73,621
Tolima;Purificacion;3,8586;-74,9306
Tolima;Flandes;4,2833;-74,8
Huila;Aipe;3,2167;-75,2333
Cundinamarca;Sopo;4,9167;-73,9333
Córdoba;Monitos;9,2503;-76,1325
Putumayo;La Dorada;0,3436;-76,9108
Cundinamarca;La Calera;4,7531;-73,92
Valle del Cauca;Caicedonia;4,3333;-75,8333
La Guajira;Villanueva;10,6;-72,9833
Córdoba;San Carlos;8,8006;-75,7022
Cesar;El Copey;10,15;-73,9667
Huila;Isnos;1,9333;-76,2333
Putumayo;Puerto Leguizamo;-0,1939;-74,7806
Tolima;Coyaima;3,8333;-75,0833
Vaupés;Mitu;1,1983;-70,1733
Magdalena;Guamal;9,1472;-74,23
Santander;San Vicente de Chucuri;6,8833;-73,4167
Cundinamarca;Pacho;5,1306;-74,1583
Atlántico;Palmar de Varela;10,75;-74,75
Cauca;Argelia;2,2431;-77,2786
Caldas;Supia;5,4667;-75,65
Antioquia;Ciudad Bolivar;5,85;-76,0333
Casanare;Tauramena;5,0167;-72,75
Antioquia;San Juan de Uraba;8,7667;-76,5333
Cesar;Pueblo Bello;10,4167;-73,5833
Cesar;Chiriguana;9,3667;-73,6
Arauca;Fortul;6,7922;-71,7756
Cauca;Morales;2,7603;-76,6339
Córdoba;Los Cordobas;8,9;-76,3667
Quindío;Circasia;4,6167;-75,6333
Cauca;Toribio;2,9581;-76,2714
Sucre;San Benito Abad;8,9333;-75,0333
Cesar;San Alberto;7,7525;-73,3892
Cauca;Balboa;2,0436;-77,2197
Caldas;Pensilvania;5,5;-75,0833
Santander;Rionegro;7,2642;-73,1494
Casanare;Paz de Ariporo;5,8833;-71,9
Nariño;Buesaco;1,3833;-77,1667
Bolívar;Mahates;10,2333;-75,1833
Chocó;Istmina;5,1667;-76,6833
Magdalena;Santa Ana;9,319;-74,57
Meta;San Martin;3,6944;-73,6936
Caldas;Samana;5,5833;-74,9167
Antioquia;Nechi;8,1;-74,7833
Antioquia;Yolombo;6,5978;-75,0122
Caquetá;Solano;0,6983;-75,2539
Valle del Cauca;Andalucia;4,1667;-76,1667
Meta;Vistahermosa;3,1239;-73,7514
Nariño;San Jose;1,6967;-78,2453
Cauca;Caloto;3,0333;-76,4167
Risaralda;Belen de Umbria;5,2;-75,8667
Nariño;La Union;1,6019;-77,1317
Cundinamarca;Choconta;5,1467;-73,6825
Nariño;Sandona;1,2833;-77,4667
Magdalena;Chivolo;10,0261;-74,6211
Bolívar;Pinillos;8,9167;-74,4667
Bolívar;Morales;8,3133;-73,8719
Casanare;Villanueva;4,6087;-72,9288
Huila;Algeciras;2,5333;-75,3167
Bolívar;Santa Rosa;10,4456;-75,3686
Bolívar;Calamar;10,25;-74,9158
Guaviare;El Retorno;2,3306;-72,6278
Antioquia;Valdivia;7,289;-75,398
Putumayo;Puerto Guzman;0,9667;-76,5833
Antioquia;Donmatias;6,4833;-75,4333
Tolima;Rioblanco;3,5;-75,8333
Risaralda;Marsella;4,9167;-75,75
Cundinamarca;Cogua;5,0667;-73,9833
Antioquia;Zaragoza;7,494;-74,871
Norte de Santander;El Zulia;7,9333;-72,6
La Guajira;Hatonuevo;11,0694;-72,7669
Tolima;Honda;5,2042;-74,7417
Antioquia;Ituango;7,1717;-75,7642
Cesar;El Paso;9,6622;-73,7519
Córdoba;Canalete;8,79;-76,2411
Norte de Santander;Teorama;8,4333;-72,2833
Nariño;San Jose;1,4744;-77,0836
Meta;Puerto Concordia;2,6833;-72,7667
Bolívar;Achi;8,5667;-74,55
Cesar;Curumani;9,2;-73,55
Antioquia;Dabeiba;7;-76,25
Atlántico;Luruaco;10,6083;-75,1417
Huila;Rivera;2,7853;-75,2589
Huila;Guadalupe;2,025;-75,7572
Antioquia;Amalfi;6,9167;-75,0833
Córdoba;Buenavista;8,6833;-75,25
Caldas;Manzanares;5,2519;-75,1569
Antioquia;Santa Fe de Antioquia;6,55;-75,8167
Norte de Santander;Sardinata;8,0833;-72,8
Santander;Sabana de Torres;7,4;-73,5
Antioquia;Mutata;7,2442;-76,4358
Sucre;Sucre;8,8139;-74,7253
Tolima;Natagaima;3,5833;-75,0833
Caquetá;El Doncello;1,6833;-75,2833
Cundinamarca;El Colegio;4,5808;-74,4425
Atlántico;Repelon;10,55;-75,1333
Cesar;Pailitas;8,9667;-73,6333
Cauca;Timbiqui;2,7719;-77,665
Bolívar;Tiquisio;8,5667;-74,2667
Cundinamarca;Silvania;4,4033;-74,3881
Nariño;Taminango;1,5667;-77,2833
Boyacá;Villa de Leyva;5,6333;-73,5333
Sucre;Los Palmitos;9,3811;-75,2714
Valle del Cauca;Ginebra;3,75;-76,1667
Antioquia;Puerto Triunfo;5,8667;-74,65
Bolívar;San Jacinto;9,8311;-75,1219
Magdalena;Nueva Granada;9,8031;-74,3903
Sucre;Galeras;9,1667;-75,05
Putumayo;Villagarzon;1,0294;-76,6164
Nariño;San Bernardo;1,5108;-77,0467
Caquetá;El Paujil;1,5644;-75,3319
Antioquia;Santa Barbara;5,8747;-75,5661
Meta;Cumaral;4,2694;-73,4864
Cauca;Almaguer;1,9167;-76,8667
Caldas;Aguadas;5,6167;-75,4667
Bolívar;Montecristo;8,2994;-74,4756
Huila;Suaza;1,9833;-75,8167
Cundinamarca;Villapinzon;5,2167;-73,6
Antioquia;Fredonia;5,9167;-75,6667
Magdalena;El Reten;10,6167;-74,2667
Valle del Cauca;Bugalagrande;4,2167;-76,1667
Nariño;Sotomayor;1,4933;-77,5214
Santander;El Carmen de Chucuri;6,6981;-73,5111
Boyacá;Moniquira;5,9167;-73,5
Sucre;Ovejas;9,5;-75,1667
Bolívar;Villanueva;10,4456;-75,2761
Boyacá;Samaca;5,5;-73,4833
Cesar;Becerril;9,7;-73,2833
Huila;Timana;1,9833;-75,95
Cesar;San Martin;8,0472;-73,5153
Nariño;San Lorenzo;1,5039;-77,2178
Antioquia;Abejorral;5,7894;-75,4281
Guainía;Inirida;3,8653;-67,9239
Bolívar;Simiti;7,9667;-73,95
Antioquia;Concordia;6,049;-75,909
Cundinamarca;Tenjo;4,9167;-74,1667
Tolima;Rovira;4,25;-75,3333
Antioquia;Frontino;6,7833;-76,1333
Sucre;Tolu Viejo;9,45;-75,45
Cauca;Suarez;2,9589;-76,6953
La Guajira;Urumita;10,5667;-73,0167
Tolima;Venadillo;4,75;-74,9167
Valle del Cauca;Ansermanuevo;4,8;-76
Atlántico;Polonuevo;10,7833;-74,8667
La Guajira;Albania;11,1597;-72,5856
Antioquia;La Union;5,9736;-75,3614
Cundinamarca;El Rosal;4,8519;-74,2628
Chocó;Tado;5,2667;-76,5667
Magdalena;San Sebastian de Buenavista;9,2403;-74,3556
Tolima;Anzoategui;4,6339;-75,0972
Nariño;Guachucal;0,9667;-77,7333
Santander;Velez;6,0103;-73,6763
Cundinamarca;Tocaima;4,5;-74,6667
Cauca;Villa Rica;2,5167;-76,85
Caldas;Salamina;5,4083;-75,49
Chocó;Pizarro;4,95;-77,3667
Cesar;San Diego;10,3375;-73,1825
Cesar;Astrea;9,5;-73,9833
Atlántico;Ponedera;10,65;-74,75
Atlántico;Campo de la Cruz;10,3778;-74,8814
Córdoba;Buenavista;8,6805;-75,2554
Santander;Malaga;6,7833;-72,6667
Valle del Cauca;Trujillo;4,25;-76,3333
Valle del Cauca;San Pedro;4;-76,2292
Norte de Santander;Convencion;8,8333;-73,2
Nariño;Ricaurte;1,2108;-77,9933
Antioquia;San Vicente;6,2819;-75,3322
Sucre;San Pedro;8,7333;-74,7167
Cesar;Pelaya;8,6833;-73,6667
Antioquia;Salgar;5,9617;-75,9753
Vichada;La Primavera;5,4906;-70,4092
Cauca;Totoro;2,5117;-76,4003
Meta;Restrepo;4,25;-73,5667
Antioquia;Yondo;7;-73,9167
Risaralda;Mistrato;5,3;-75,8833
Putumayo;Puerto Guzman;0,9703;-76,5858
Sucre;Guaranda;8,4667;-75,5333
Cundinamarca;Suesca;5,1;-73,8
Antioquia;Betulia;6,1122;-75,9839
Tolima;Cajamarca;4,4167;-75,5
Magdalena;Tiogollo;10,3408;-74,7333
Norte de Santander;Toledo;7,3131;-72,4875
Tolima;Lerida;4,9;-74,9167
La Guajira;Distraccion;10,9;-72,8833
Cundinamarca;Caqueza;4,4053;-73,9478
Cundinamarca;Gachancipa;4,9908;-73,8731
Antioquia;Retiro;6,0572;-75,5025
Boyacá;Garagoa;5,0825;-73,3642
Antioquia;San Roque;6,4853;-75,0197
Vichada;Puerto Carreno;6,1903;-67,4836
Magdalena;El Pinon;10,3333;-74,6667
Nariño;La Cruz;1,6047;-76,9742
Bolívar;San Estanislao;10,4;-75,15
Antioquia;Anori;7,0736;-75,1458
Nariño;Pupiales;0,8667;-77,65
Valle del Cauca;Toro;4,6117;-76,0814
Cauca;Jambalo;2,85;-76,3167
Norte de Santander;Chinacota;7,6167;-72,6
Boyacá;Nobsa;5,7667;-72,95
Córdoba;Momil;9,2333;-75,6833
Valle del Cauca;Yotoco;3,8667;-76,3833
Valle del Cauca;Restrepo;3,825;-76,525
Nariño;El Penol;6,2186;-75,2433
Córdoba;Cotorra;9,05;-75,8
Cundinamarca;Subachoque;4,9281;-74,1736
Huila;Tarqui;2,1106;-75,8231
Boyacá;Aquitania;5,5833;-72,8333
Valle del Cauca;Darien;3,9167;-76,6667
Magdalena;Pijino del Carmen;9,3333;-74,45
Cundinamarca;Guasca;4,8658;-73,8772
Caquetá;La Montanita;1,5833;-75,25
Boyacá;Ventaquemada;5,4167;-73,5
Santander;Landazuri;6,2181;-73,8114
Antioquia;San Jeronimo;6,4417;-75,7278
Antioquia;Tamesis;5,6667;-75,7167
Córdoba;La Apartada;8,1006;-75,3825
Cundinamarca;Puerto Salgar;5,5;-74,5833
Cesar;La Gloria;8,5833;-73,5833
Valle del Cauca;Obando;4,5833;-75,9167
Cauca;Coconuco;2,25;-76,4167
Casanare;Monterrey;4,8783;-72,8972
Cauca;Mercaderes;1,8;-77,1667
Antioquia;Cocorna;6,0569;-75,1853
Valle del Cauca;Riofrio;4,1561;-76,2878
Córdoba;Purisima de la Concepcion;9,2333;-75,7333
Chocó;Condoto;5,1;-76,65
Boyacá;Combita;5,75;-73,25
Cundinamarca;Anapoima;4,5503;-74,5361
Bolívar;San Martin de Loba;8,8333;-73,9167
Antioquia;San Carlos;6,1897;-74,9969
Antioquia;Sopetran;6,5017;-75,7433
Bolívar;Barranco de Loba;8,95;-74,1167
Sucre;Morroa;9,3333;-75,3167
Tolima;San Antonio;3,9167;-75,5
Cauca;Villa Rica;3,1736;-76,4631
Tolima;Saldana;3,9347;-75,0203
Magdalena;Tenerife;9,8989;-74,8589
Magdalena;Algarrobo;10,1;-74,2667
Magdalena;Algarrobo;10,1;-74,2667
Atlántico;Juan de Acosta;10,8333;-75,0333
Putumayo;Sibundoy;1,2033;-76,9192
Antioquia;Titiribi;6,0667;-75,8
Boyacá;Tibasosa;5,8333;-72,9667
Chocó;El Carmen de Atrato;5,8878;-75,1642
Cesar;Rio de Oro;8;-73,5
Bolívar;Santa Catalina;10,6039;-75,2878
Nariño;Cordoba;0,855;-77,5211
Valle del Cauca;Bolivar;4,3386;-76,1847
Cundinamarca;Sesquile;5,0453;-73,7972
Cesar;Tamalameque;8,8333;-73,5833
Meta;Guamal;3,88;-73,7656
Bolívar;Clemencia;10,5833;-75,3333
Antioquia;Jardin;5,5986;-75,8194
Sucre;Palmito;9,3333;-75,55
Bolívar;Altos del Rosario;8,8;-74,1667
Meta;Castilla La Nueva;3,8333;-73,6833
Antioquia;Canasgordas;6,7497;-76,0258
Boyacá;Raquira;5,5333;-73,6333
Atlántico;Usiacuri;10,75;-74,9833
Caldas;Palestina;5,0833;-75,6667
Córdoba;Chima;9,15;-75,6333
Cundinamarca;Nemocon;5,05;-73,8833
Tolima;Ataco;3,6;-75,3833
Atlántico;Manati;10,445;-74,9597
Sucre;San Juan de Betulia;9,2756;-75,2456
Bolívar;San Jacinto del Cauca;8,25;-74,7167
Cauca;Rosas;2,2667;-76,75
Casanare;Mani;4,8167;-72,2833
Nariño;El Tablon;1,4269;-77,0969
Valle del Cauca;La Victoria;4,5214;-76,0364
Caldas;Pacora;5,5258;-75,4589
Cundinamarca;Agua de Dios;4,3781;-74,6739
Chocó;Bagado;5,4167;-76,4167
Bolívar;Cicuco;9,2667;-74,65
Cundinamarca;La Vega;4,9992;-74,3411
Cundinamarca;San Antonio del Tequendama;4,6328;-74,3522
Cundinamarca;Simijaca;5,5019;-73,8519
Nariño;San Pablo;1,6725;-77,0139
Cundinamarca;Anolaima;4,7617;-74,464
Cundinamarca;Ricaurte;4,2792;-74,7728
Risaralda;Santuario;5,0725;-75,9623
Valle del Cauca;Alcala;4,6667;-75,75
